Havaintoasema,Vuosi,Kuukausi,Paiva,Aika,Keskilampotila
Kemi Kemi-Tornio lentoasema,2020,1,1,02:00,-4.1
Kemi Kemi-Tornio lentoasema,2020,2,1,02:00,-6.1
Kemi Kemi-Tornio lentoasema,2020,3,1,02:00,-3.3
Kemi Kemi-Tornio lentoasema,2020,4,1,03:00,-0.1
Kemi Kemi-Tornio lentoasema,2020,5,1,03:00,5.6
Kemi Kemi-Tornio lentoasema,2020,6,1,03:00,15.6
Kemi Kemi-Tornio lentoasema,2020,7,1,03:00,14.6
Kemi Kemi-Tornio lentoasema,2020,8,1,03:00,13.7
Kemi Kemi-Tornio lentoasema,2020,9,1,03:00,9.8
Kemi Kemi-Tornio lentoasema,2020,10,1,03:00,4.5
Kemi Kemi-Tornio lentoasema,2020,11,1,02:00,1.5
Kemi Kemi-Tornio lentoasema,2020,12,1,02:00,-2.1
Kemi Kemi-Tornio lentoasema,2021,1,1,02:00,-11.4
Kemi Kemi-Tornio lentoasema,2021,2,1,02:00,-13.8
Kemi Kemi-Tornio lentoasema,2021,3,1,02:00,-4.4
Kemi Kemi-Tornio lentoasema,2021,4,1,03:00,1.1
Kemi Kemi-Tornio lentoasema,2021,5,1,03:00,6.2
Kemi Kemi-Tornio lentoasema,2021,6,1,03:00,15
Kemi Kemi-Tornio lentoasema,2021,7,1,03:00,17.8
Kemi Kemi-Tornio lentoasema,2021,8,1,03:00,13.2
Kemi Kemi-Tornio lentoasema,2021,9,1,03:00,6.9
Kemi Kemi-Tornio lentoasema,2021,10,1,03:00,3.7
Kemi Kemi-Tornio lentoasema,2021,11,1,02:00,-3.5
Kemi Kemi-Tornio lentoasema,2021,12,1,02:00,-10.8
Kemi Kemi-Tornio lentoasema,2022,1,1,02:00,-8.5
Kemi Kemi-Tornio lentoasema,2022,2,1,02:00,-8.9
Kemi Kemi-Tornio lentoasema,2022,3,1,02:00,-3.6
Kemi Kemi-Tornio lentoasema,2022,4,1,03:00,-0.2
Kemi Kemi-Tornio lentoasema,2022,5,1,03:00,7.1
Kemi Kemi-Tornio lentoasema,2022,6,1,03:00,14.6
Kemi Kemi-Tornio lentoasema,2022,7,1,03:00,16.6
Kemi Kemi-Tornio lentoasema,2022,8,1,03:00,15.1
Kemi Kemi-Tornio lentoasema,2022,9,1,03:00,8.2
Kemi Kemi-Tornio lentoasema,2022,10,1,03:00,4.6
Kemi Kemi-Tornio lentoasema,2022,11,1,02:00,-2.4
Kemi Kemi-Tornio lentoasema,2022,12,1,02:00,-7.6
Kemi Kemi-Tornio lentoasema,2023,1,1,02:00,-4.8
Kemi Kemi-Tornio lentoasema,2023,2,1,02:00,-6.5
Kemi Kemi-Tornio lentoasema,2023,3,1,02:00,-8.3
Kemi Kemi-Tornio lentoasema,2023,4,1,03:00,0.2
Kemi Kemi-Tornio lentoasema,2023,5,1,03:00,6.9
Kemi Kemi-Tornio lentoasema,2023,6,1,03:00,13.9
Kemi Kemi-Tornio lentoasema,2023,7,1,03:00,15.4
Kemi Kemi-Tornio lentoasema,2023,8,1,03:00,15.6
Kemi Kemi-Tornio lentoasema,2023,9,1,03:00,11.5
Kemi Kemi-Tornio lentoasema,2023,10,1,03:00,-1.3
Kemi Kemi-Tornio lentoasema,2023,11,1,02:00,-7.3
Kemi Kemi-Tornio lentoasema,2023,12,1,02:00,-9.3
Kemi Kemi-Tornio lentoasema,2024,1,1,02:00,-14.3
Kemi Kemi-Tornio lentoasema,2024,2,1,02:00,-8.8
Kemi Kemi-Tornio lentoasema,2024,3,1,02:00,-2.8
Kemi Kemi-Tornio lentoasema,2024,4,1,03:00,-1.2
Kemi Kemi-Tornio lentoasema,2024,5,1,03:00,7.8
Kemi Kemi-Tornio lentoasema,2024,6,1,03:00,15.2
Kemi Kemi-Tornio lentoasema,2024,7,1,03:00,17.1
Kemi Kemi-Tornio lentoasema,2024,8,1,03:00,16.1
Kemi Kemi-Tornio lentoasema,2024,9,1,03:00,11.7
Kemi Kemi-Tornio lentoasema,2024,10,1,03:00,4.3
Kemi Kemi-Tornio lentoasema,2024,11,1,02:00,-1.8
Kemi Kemi-Tornio lentoasema,2024,12,1,02:00,-5.7
Kemi Kemi-Tornio lentoasema,2025,1,1,02:00,-9.1
Kemi Kemi-Tornio lentoasema,2025,2,1,02:00,-5.7
Kemi Kemi-Tornio lentoasema,2025,3,1,02:00,-3
Kemi Kemi-Tornio lentoasema,2025,4,1,03:00,1
Kemi Kemi-Tornio lentoasema,2025,5,1,03:00,6.8
Kemi Kemi-Tornio lentoasema,2025,6,1,03:00,11.8
Kemi Kemi-Tornio lentoasema,2025,7,1,03:00,18.6
Kemi Kemi-Tornio lentoasema,2025,8,1,03:00,13.8
Kemi Kemi-Tornio lentoasema,2025,9,1,03:00,11.8
Kemi Kemi-Tornio lentoasema,2025,10,1,03:00,5.9
